Адрес|Статус|Кадастровый номер|GUID дома|GUID ФИАС|ОКТМО|Способ управления|ОГРН УО|Управляющая организация|Тип дома|Состояние|Общая площадь|Жилая площадь|Дата сноса|Помещений всего|КВ|НЖ|ММ|ОИ|ЛК|ЧКВ|ERR|Квартир с комнатами
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 15/5, литер А|МКД|78:42:1820701:4|249ed7b6-d935-4e62-8d2a-c2f64ecdbc0f|b9577f8c-bfe5-4126-9395-776df0d1fda8|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1185.2000|858.9||14|11|3|0|0|0|6|0|2
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 16, литер А|МКД|78:42:1820702:3010|852f3b43-e6bb-43e2-b4bd-b7cc10e87992|f8b07a09-83cb-47d5-b928-968cbddfa27f|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1867.9000|1454||33|29|4|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 17/12, литер А|МКД|78:42:1820704:2006|5fe68896-3105-41b2-bbcf-19667528cae9|cb368553-ecd5-45bf-8190-ecd9b39d44a4|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|595.9000|461.6||10|8|2|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 2/10, литер А|МКД|78:42:0018204:1004|f7e74a15-5f7d-4f7c-b80c-95a5b33cf1f0|4e93c86d-c3cd-4ee9-a03a-06bcef596f22|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1447.7000|1052.2||12|10|2|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 21/9, литер А|МКД|78:42:1820701:201|99229e90-fa67-4f05-9b42-67bd876093aa|9add13fe-6c17-421c-b9ac-e9370879b281|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1372.4000|1370.8||24|24|0|0|0|0|13|0|4
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 24, литер А|МКД|78:42:1820706:1017|12d51a3f-ffaa-4da6-b8c3-2b2d06e2d95a|3d82cb7f-f08b-4259-ad8b-95be9bb35ca4|40397000|УО|1117847101470|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЕДИНЫЙ ГОРОД"""|Многоквартирный|Исправный|102.2000|587.9||10|9|1|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 25/14, литер А|МКД|78:42:1820701:202|a929cc43-32fc-42c3-b9ff-0c7ab43fd07d|69519275-2098-4686-8c8e-e45cd2d2c5fe|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1661.9000|1661.9||30|30|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 3, литер А|МКД|78:42:0018203:3251|f471819d-d924-425b-a25c-f16943adf1f0|be5ca226-b3a9-4a78-ad7c-c36361e7ef42|40397000|ТСЖ|1047830003891|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""РАДИЩЕВ"""|Многоквартирный|Исправный|1296.6000|1275.5||8|8|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 5, литер А|МКД|78:42:0018203:3004|3c7ce4c8-0fe8-4434-8078-bbc37b8af847|1be6f1e5-4a82-4016-b96d-2724cdf1884b|40397000|ТСЖ|1047830003891|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""РАДИЩЕВ"""|Многоквартирный|Исправный|1185.6000|993||13|8|5|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Радищева, д. 8, литер А|МКД|78:42:0018204:1090|1980f67d-ae91-4560-8d57-83c956e8f5d9|1db02248-dde9-42c0-b40f-390329e6dd10|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|652.6000|652.6||9|9|0|0|0|0|11|0|4
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 10а, литер А|МКД|78:42:1820706:2081|606909ba-2ef6-4a3c-909e-05fd740e69ef|7bc1bfa8-b359-4363-845c-5ecfcc10f597|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|2007.1000|2006.8||48|48|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 10б, литер А|МКД|78:42:1820706:2082|31dc618c-7eb5-4180-ad56-81192b60c35e|e5ae7f02-b143-4c56-a706-58f54971b522|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1998.5000|1997.7||48|48|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 10, литер А|МКД|78:42:1820706:1025|d3ea09c6-1079-41ec-8795-40413ed75df3|a0478253-2c38-4106-913c-9fd5b17999d8|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|3350.0000|3141.4||79|76|3|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 15, литер А|МКД|78:42:1820803:3057|ab26f13b-bba8-4774-8e0a-bdb2635475d4|cbf149d0-3ec8-4419-b624-508714197b01|40397000|Не выбран|||Жилой|Исправный|236.4000|||0|0|0|0|0|0|0|0|0
